1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
 4385       0.0037309742148404       0.5978191178995151
 4386       0.0386044706368613       0.6179533522098370
 4387       0.0734779670588819       0.6380875865201594
 4388       0.1083514634809029       0.6582218208304818
 4389       0.1432249599029238       0.6783560551408037
 4390       0.1780985337536380       0.6984903341546291
 4391       0.2129719527469653       0.7186245237614484
 4392       0.2478455265976796       0.7387588027752734
 4393       0.2827189455910069       0.7588929923820922
 4394       0.3175925194417211       0.7790272713959177
 4395       0.3524659384350484       0.7991614610027369
 4396       0.3873395122857626       0.8192957400165619
 4397       0.4222129312790899       0.8394299296233811
 4398       0.4570865051298045       0.8595642086372066
 4399       0.4919600789805187       0.8796984876510316
 4400       0.5268334979738456       0.8998326772578504
 4401       0.5617070718245603       0.9199669562716759
 4402       0.5965804908178876       0.9401011458784951
 4403       0.6314540646686018       0.9602354248923202
 4404       0.6663274836619291       0.9803696144991394
 4405       0.7012010575126433       1.0005038935129649
 4406       0.7360744765059706       1.0206380831197837
 4407       0.7709480503566848       1.0407723621336091
 4408       0.8058214693500121       1.0609065517404279
 4409       0.8406950432007263       1.0810408307542534
 4410       0.8755684621940536       1.1011750203610722
 4411       0.9104420360447683       1.1213092993748977
 4412       0.9453154550380951       1.1414434889817164
 4413       0.9801890288888098       1.1615777679955419
 4536       0.0184702363265390       0.6528268486318578
 4537       0.0533437327485600       0.6729610829421802
 4538       0.0882172291705805       0.6930953172525025
 4539       0.1230907255926015       0.7132295515628244
 4540       0.1579642994433157       0.7333638305766499
 4541       0.1928377184366430       0.7534980201834691
 4542       0.2277112922873572       0.7736322991972941
 4543       0.2625847112806845       0.7937664888041129
 4544       0.2974582851313987       0.8139007678179384
 4545       0.3323317041247260       0.8340349574247576
 4546       0.3672052779754407       0.8541692364385827
 4547       0.4020786969687675       0.8743034260454019
 4548       0.4369522708194822       0.8944377050592274
 4549       0.4718258446701964       0.9145719840730524
 4550       0.5066992636635232       0.9347061736798712
 4551       0.5415728375142379       0.9548404526936967
 4552       0.5764462565075652       0.9749746423005159
 4553       0.6113198303582794       0.9951089213143409
 4554       0.6461932493516067       1.0152431109211602
 4555       0.6810668232023209       1.0353773899349856
 4556       0.7159402421956482       1.0555115795418044
 4557       0.7508138160463624       1.0756458585556299
 4558       0.7856872350396897       1.0957800481624487
 4559       0.8205608088904039       1.1159143271762741
 4560       0.8554342278837312       1.1360485167830929
 4561       0.8903078017344459       1.1561827957969184
 4562       0.9251812207277728       1.1763169854037372
 4563       0.9600547945784874       1.1964512644175627
 4564       0.9949282135718143       1.2165854540243815
 4687       0.0332094984382376       0.7078345793642011
 4688       0.0680829948602586       0.7279688136745235
 4689       0.1029564912822796       0.7481030479848454
 4690       0.1378300651329938       0.7682373269986709
 4691       0.1727034841263211       0.7883715166054901
 4692       0.2075770579770353       0.8085057956193151
 4693       0.2424504769703626       0.8286399852261339
 4694       0.2773240508210768       0.8487742642399594
 4695       0.3121974698144041       0.8689084538467786
 4696       0.3470710436651183       0.8890427328606036
 4697       0.3819444626584456       0.9091769224674229
 4698       0.4168180365091603       0.9293112014812484
 4699       0.4516916103598745       0.9494454804950734
 4700       0.4865650293532013       0.9695796701018922
 4701       0.5214386032039160       0.9897139491157176
 4702       0.5563120221972433       1.0098481387225369
 4703       0.5911855960479575       1.0299824177363619
 4704       0.6260590150412848       1.0501166073431811
 4705       0.6609325888919990       1.0702508863570066
 4706       0.6958060078853263       1.0903850759638254
 4707       0.7306795817360405       1.1105193549776509
 4708       0.7655530007293678       1.1306535445844696
 4709       0.8004265745800820       1.1507878235982951
 4710       0.8352999935734093       1.1709220132051139
 4711       0.8701735674241240       1.1910562922189394
 4712       0.9050469864174508       1.2111904818257582
 4713       0.9399205602681655       1.2313247608395836
 4714       0.9747939792614924       1.2514589504464024
